You entered a buffer length of 4,,,,,,,,,,,,,,,,,,,,
x,y,z,,,,,,,,,,,x_m1_100,x_m1_20,,y_m2_100,y_m2_20,,z_m3_100,z_m3_20
0.464933,0.464933,0.229323,0.312855,1.043948,1.058353,0.996948,1.038424,0.161204,0.196362,0.130196,0.168254,,0.464933,1.017823,,1.016358,0.830068,,0.074406,0.167308
0.518403,0.518403,0.241287,0.385125,0.990966,1.058353,0.990966,1.036929,0.102728,0.196362,0.102728,0.161387,,0.518403,1.03528,,1.022218,0.741195,,-0.055606,0.160227
0.546603,0.546603,0.315876,0.461454,0.914912,1.058353,0.914912,1.002045,0.106879,0.196362,0.102728,0.141793,,0.546603,0.986083,,1.033938,0.688946,,-0.090643,0.133736
0.552341,0.552341,0.464933,0.52057,0.922847,1.043948,0.914912,0.968168,0.142404,0.161204,0.102728,0.128304,,0.552341,1.01526,,1.027467,0.758774,,-0.006531,0.09931
0.485808,0.552341,0.485808,0.525789,0.973875,0.990966,0.914912,0.95065,0.185497,0.185497,0.102728,0.134377,,0.485808,1.003662,,1.051151,0.794909,,0.018983,0.074651
0.57224,0.57224,0.485808,0.539248,0.881462,0.973875,0.881462,0.923274,0.191723,0.191723,0.106879,0.156626,,0.57224,0.989745,,0.953977,0.793322,,0.090521,0.089056
0.638284,0.638284,0.485808,0.562168,0.780993,0.973875,0.780993,0.889794,0.121528,0.191723,0.121528,0.160288,,0.638284,0.977782,,0.897943,0.562473,,0.142038,0.138497
0.671855,0.671855,0.485808,0.592047,0.707624,0.973875,0.707624,0.835989,0.079045,0.191723,0.079045,0.144448,,0.671855,0.94592,,0.949582,0.496063,,0.07343,0.238723
0.677959,0.677959,0.57224,0.640084,0.650613,0.881462,0.650613,0.755173,0.035952,0.191723,0.035952,0.107062,,0.677959,0.923946,,1.013673,0.452115,,0.058414,0.312336
0.707746,0.707746,0.638284,0.673961,0.615943,0.780993,0.615943,0.688793,0.032412,0.121528,0.032412,0.067234,,0.707746,0.938107,,1.027101,0.532808,,0.103705,0.336996
0.787096,0.787096,0.671855,0.711164,0.55112,0.707624,0.55112,0.631325,0.016786,0.079045,0.016786,0.041049,,0.787096,0.925533,,1.025881,0.516816,,0.150705,0.251663
0.885491,0.885491,0.677959,0.764573,0.542697,0.650613,0.542697,0.590093,0.025941,0.035952,0.016786,0.027773,,0.885491,0.983397,,1.026613,0.473845,,0.096014,0.167918
0.853385,0.885491,0.707746,0.80843,0.47177,0.615943,0.47177,0.545383,0.088323,0.088323,0.016786,0.040865,,0.853385,1.002198,,0.9812,0.304401,,0.061222,0.075383
0.876091,0.885491,0.787096,0.850516,0.401209,0.55112,0.401209,0.491699,0.148141,0.148141,0.016786,0.069798,,0.876091,0.979491,,0.926143,0.210157,,0.016541,0.063175
0.945797,0.945797,0.853385,0.890191,0.394128,0.542697,0.394128,0.452451,0.157541,0.157541,0.025941,0.104986,,0.945797,1.025026,,0.970457,0.221388,,0.042666,0.10871
0.931759,0.945797,0.853385,0.901758,0.377281,0.47177,0.377281,0.411097,0.096869,0.157541,0.088323,0.122718,,0.931759,1.010133,,0.979125,0.192578,,0.056095,0.180004
0.9248,0.945797,0.876091,0.919612,0.338216,0.401209,0.338216,0.377709,0.049502,0.157541,0.049502,0.113013,,0.9248,0.889398,,0.920771,-0.249954,,0.082464,0.169993
0.909296,0.945797,0.909296,0.927913,0.305011,0.394128,0.305011,0.353659,-0.007874,0.157541,-0.007874,0.074009,,0.909296,0.958738,,0.937984,-0.201123,,0.084417,-0.009461
0.923701,0.931759,0.909296,0.922389,0.297442,0.377281,0.297442,0.329487,0.025941,0.096869,-0.007874,0.04111,,0.923701,1.007569,,1.102179,-0.134347,,0.069645,0.05109
0.958249,0.958249,0.909296,0.929011,0.286822,0.338216,0.286822,0.306873,-0.027284,0.049502,-0.027284,0.010071,,0.958249,1.049075,,0.98767,-0.033388,,-0.011292,0.226515
1.006104,1.006104,0.909296,0.949338,0.244217,0.305011,0.244217,0.283373,-0.142037,0.025941,-0.142037,-0.037813,,1.006104,1.05286,,0.887444,-0.138986,,0.032167,0.377037
0.996948,1.006104,0.923701,0.971251,0.212721,0.297442,0.212721,0.2603,-0.108222,0.025941,-0.142037,-0.0629,,0.996948,0.981933,,0.76085,-0.321492,,0.134225,0.577977
